nameWithOwner,url,stargazerCount,createdAt,releases,primaryLanguage,age,processed
vinc3m1/RoundedImageView,https://github.com/vinc3m1/RoundedImageView,6296,2013-02-22T01:17:37Z,19,Java,3313,false
NanoHttpd/nanohttpd,https://github.com/NanoHttpd/nanohttpd,6268,2012-08-10T21:52:42Z,3,Java,3508,false
li-xiaojun/XPopup,https://github.com/li-xiaojun/XPopup,6267,2018-12-07T06:16:48Z,176,Java,1199,false
Tencent/Shadow,https://github.com/Tencent/Shadow,6238,2019-06-13T10:50:27Z,3,Java,1011,false
ssssssss-team/spider-flow,https://github.com/ssssssss-team/spider-flow,6233,2020-03-27T11:07:15Z,2,Java,723,false
processing/processing,https://github.com/processing/processing,6182,2013-01-24T21:17:22Z,48,Java,3341,false
languagetool-org/languagetool,https://github.com/languagetool-org/languagetool,6181,2013-08-08T16:37:22Z,0,Java,3145,false
guardianproject/haven,https://github.com/guardianproject/haven,6173,2017-03-01T03:20:03Z,37,Java,1845,false
ikew0ng/SwipeBackLayout,https://github.com/ikew0ng/SwipeBackLayout,6140,2013-08-25T03:36:12Z,0,Java,3129,false
zouzg/mybatis-generator-gui,https://github.com/zouzg/mybatis-generator-gui,6130,2016-05-08T22:39:39Z,16,Java,2141,false
rengwuxian/MaterialEditText,https://github.com/rengwuxian/MaterialEditText,6118,2014-10-30T10:07:23Z,19,Java,2698,false
NLPchina/ansj_seg,https://github.com/NLPchina/ansj_seg,6104,2012-09-05T05:56:24Z,3,Java,3483,false
smuyyh/BookReader,https://github.com/smuyyh/BookReader,6073,2016-08-03T05:17:27Z,0,Java,2055,false
Graylog2/graylog2-server,https://github.com/Graylog2/graylog2-server,6063,2010-05-17T21:27:02Z,0,Java,4324,false
react-native-video/react-native-video,https://github.com/react-native-video/react-native-video,6051,2015-03-31T05:08:38Z,6,Java,2546,false
pedrovgs/EffectiveAndroidUI,https://github.com/pedrovgs/EffectiveAndroidUI,6046,2014-07-04T08:42:20Z,0,Java,2816,false
rey5137/material,https://github.com/rey5137/material,6046,2014-12-09T12:07:32Z,10,Java,2658,false
google/physical-web,https://github.com/google/physical-web,6036,2014-09-30T18:32:14Z,17,Java,2727,false
ArthurHub/Android-Image-Cropper,https://github.com/ArthurHub/Android-Image-Cropper,6033,2015-01-15T10:49:37Z,32,Java,2621,false
airbytehq/airbyte,https://github.com/airbytehq/airbyte,6023,2020-07-27T23:55:54Z,185,Java,600,false
apache/jmeter,https://github.com/apache/jmeter,5993,2010-05-26T23:38:07Z,0,Java,4315,false
aa112901/remusic,https://github.com/aa112901/remusic,5984,2016-03-24T06:20:39Z,0,Java,2187,false
apache/incubator-shenyu,https://github.com/apache/incubator-shenyu,5978,2018-07-11T08:17:45Z,5,Java,1348,false
daimajia/NumberProgressBar,https://github.com/daimajia/NumberProgressBar,5977,2014-05-01T08:54:25Z,3,Java,2880,false
antoniolg/androidmvp,https://github.com/antoniolg/androidmvp,5962,2014-04-02T05:42:20Z,0,Java,2909,false
singwhatiwanna/dynamic-load-apk,https://github.com/singwhatiwanna/dynamic-load-apk,5958,2014-03-30T11:51:00Z,0,Java,2912,false
react-native-svg/react-native-svg,https://github.com/react-native-svg/react-native-svg,5950,2016-01-17T14:29:21Z,76,Java,2254,false
apache/tomcat,https://github.com/apache/tomcat,5925,2011-10-01T07:00:19Z,0,Java,3823,false
sohutv/cachecloud,https://github.com/sohutv/cachecloud,5920,2016-01-26T05:46:01Z,6,Java,2245,false
AsyncHttpClient/async-http-client,https://github.com/AsyncHttpClient/async-http-client,5917,2011-03-07T13:41:46Z,0,Java,4031,false
wyouflf/xUtils3,https://github.com/wyouflf/xUtils3,5914,2015-10-28T10:56:04Z,9,Java,2335,false
google/error-prone,https://github.com/google/error-prone,5903,2014-08-21T23:26:50Z,17,Java,2767,false
real-logic/aeron,https://github.com/real-logic/aeron,5902,2014-02-07T17:16:58Z,79,Java,2962,false
ityouknow/spring-cloud-examples,https://github.com/ityouknow/spring-cloud-examples,5877,2017-04-28T08:48:53Z,0,Java,1787,false
google/j2objc,https://github.com/google/j2objc,5868,2014-01-30T20:19:56Z,39,Java,2970,false
